"FOC-100","FORMACION COMPLEMENTARIA I ",
"ING-143","INGLES I",
"INI-154","INTRODUCCION A LA INFORMATICA",
"LEC-143","LENGUAJE Y COMUNICACION I",
"LOC-154","LOGICA COMPUTACIONAL",
"MAT-165 ","MATEMATICA I",
"RSP-133","REALIDAD SOCIAL Y POLITICA DE VENEZUELA",
"TID-122","TECNICAS DE INVESTIGACION DOCUMENTAL",
"ACC-220","ACTIVIDADES COMPLEMENTARIAS (Ed. Física)",
"ALP-265","ALGORITMO Y PROGRAMACION I","LOC-154"
"ANF-233","ANTROPOLOGIA FILOSOFICA",
"ARC-265","ARQUITECTURA Y ESTRUCTURA DEL COMPUTADOR","INI-154"
"CAL-265 ","CALCULO I","MAT-165 "
"FOC-200","FORMACION COMPLEMENTARIA II","FOC-100"
"ING-243","INGLES II","ING-143"
"ALP-365","ALGORITMO Y PROGRAMACION II","ALP-265"
"CAL-365","CALCULO II ","CAL-265"
"ESA-343","ESTADISTICA I","CAL-265"
"FOC-300","FORMACION COMPLEMENTARIA III ","FOC-200"
"INS-354 ","INGENIERIA DEL SOFTWARE","ALP-265, ARC-265"
"IGL-332","INGLES III","ING-243 "
"ADE-433 ","ADMINISTRACION DE EMPRESAS",
"ADS-433","ANALISIS Y DISEÑO DE SISTEMAS ",
"ARC-454","ARQUITECTURA DE REDES DE COMPUTADORES","ALP-365"
"ESA-444","ESTADISTICA APLICADA","ESA-343"
"FOC-400","FORMACION COMPLEMENTARIA IV","FOC-300"
"SBD-454","SISTEMA DE BASE DE DATOS","INS-354"
"SIO-454","SISTEMA DE OPERACION I ","INS-354"
"CON-544 ","CONTABILIDAD COMPUTARIZADA","ESA-343"
"ETF-522","ETICA FUNDAMENTAL",
"FOC-500","FORMACION COMPLEMENTARIA V","FOC-400"
"INU-554","INTERFACES WEB CON EL USUARIO","ADS-433 "
"INO-544","INVESTIGACION DE OPERACIONES",
"MEI-522","METODOLOGIA DE LA INVESTIGACION","ESA-444 "
"SDI-554","SISTEMAS DE INFORMACION GERENCIAL","SBD-454"
"SIO-554 ","SISTEMAS OPERATIVOS II ","SIO-454, ARC-454"
"ELT-622","ELECTIVA: ",
"FOC-600","FORMACION COMPLEMENTARIA VI","FOC-500 "
"PAP-604","PASANTIA PROFESIONAL",
"TEG-606 ","TRABAJO ESPECIAL DE GRADO ","MEI-522"
