FOC-100,FORMACION COMPLEMENTARIA I 
ING-143,INGLES I
INI-154,INTRODUCCION A LA INFORMATICA
LEC-143,LENGUAJE Y COMUNICACION I
LOC-154,LOGICA COMPUTACIONAL
MAT-165,MATEMATICA I
RSP-133,REALIDAD SOCIAL Y POLITICA DE VENEZUELA
TID-122,TECNICAS DE INVESTIGACION DOCUMENTAL
ACC-220,ACTIVIDADES COMPLEMENTARIAS (Ed. Física)
ALP-265,ALGORITMO Y PROGRAMACION I
ANF-233,ANTROPOLOGIA FILOSOFICA
ARC-265,ARQUITECTURA Y ESTRUCTURA DEL COMPUTADOR
CAL-265,CALCULO I
FOC-200,FORMACION COMPLEMENTARIA II
ING-243,INGLES II
ALP-365,ALGORITMO Y PROGRAMACION II
CAL-365,CALCULO II 
ESA-343,ESTADISTICA I
FOC-300,FORMACION COMPLEMENTARIA III 
INS-354,INGENIERIA DEL SOFTWARE
IGL-332,INGLES III
ADE-433,ADMINISTRACION DE EMPRESAS
ADS-433,ANALISIS Y DISEÑO DE SISTEMAS 
ARC-454,ARQUITECTURA DE REDES DE COMPUTADORES
ESA-444,ESTADISTICA APLICADA
FOC-400,FORMACION COMPLEMENTARIA IV
SBD-454,SISTEMA DE BASE DE DATOS
SIO-454,SISTEMA DE OPERACION I 
CON-544,CONTABILIDAD COMPUTARIZADA
ETF-522,ETICA FUNDAMENTAL
FOC-500,FORMACION COMPLEMENTARIA V
INU-554,INTERFACES WEB CON EL USUARIO
INO-544,INVESTIGACION DE OPERACIONES
MEI-522,METODOLOGIA DE LA INVESTIGACION
SDI-554,SISTEMAS DE INFORMACION GERENCIAL
SIO-554,SISTEMAS OPERATIVOS II 
ELT-622,ELECTIVA: 
FOC-600,FORMACION COMPLEMENTARIA VI
PAP-604,PASANTIA PROFESIONAL
TEG-606,TRABAJO ESPECIAL DE GRADO 
